Length,WPD_HAWT,WPD_VAWT_VM,LES
-0.0667,1.721326901,1.941925821,1.770653137
-0.0571793,1.932552869,2.152627688,1.998578466
-0.0512724,2.127552691,2.318313037,2.203505733
-0.0453612,2.304950734,2.468121752,2.391630162
-0.0394571,2.451919578,2.575586348,2.539866846
-0.0335661,2.561601885,2.649773355,2.650321387
-0.0276903,2.618632041,2.677577105,2.701766084
-0.0218283,2.637254621,2.669342954,2.711458391
-0.0159777,2.614910559,2.627905767,2.676536307
-0.010136,2.561218346,2.569920137,2.6126344
-0.00430056,2.499599044,2.501118444,2.536391286
0.00153069,2.426495217,2.430125388,2.455047163
0.00735917,2.357958954,2.366786748,2.378609877
0.0131864,2.297609544,2.307222449,2.311544158
0.0190127,2.250924547,2.259978783,2.259420579
0.0248387,2.205149519,2.217666793,2.212081722
0.0306648,2.171084751,2.182538916,2.177954985
0.0364911,2.142872761,2.158120017,2.151082544
0.0423174,2.121548949,2.134228427,2.128705814
0.0481432,2.103090693,2.1131898,2.110388192
0.0539681,2.093738173,2.104327682,2.102409816
0.059791,2.080494917,2.092938152,2.092824575
0.0667,2.088606409,2.095412499,2.100070989
