Length,Actual,+,-
-0.0667,1.742431335,0.097087397,0.120707063
-0.0571793,1.963291299,0.107361876,0.13218948
-0.0512724,2.156463283,0.195835643,0.062717704
-0.0453612,2.333779839,0.178507091,0.09340806
-0.0394571,2.48,0.170094138,0.10565326
-0.0335661,2.576276331,0.202010256,0.072924005
-0.0276903,2.626021151,0.216099571,0.049833588
-0.0218283,2.635967746,0.223006481,0.026845734
-0.0159777,2.605463917,0.136836401,0.09346713
-0.010136,2.548426322,0.209080148,0.003497535
-0.00430056,2.479336033,0.162562238,0.037888701
0.00153069,2.406186813,0.175591179,0.019434021
0.00735917,2.338919953,0.126944701,0.066479527
0.0131864,2.280233217,0.113204539,0.079889911
0.0190127,2.233947119,0.071901937,0.122859941
0.0248387,2.191714616,0.078255941,0.118709222
0.0306648,2.160021279,0.131691355,0.067501842
0.0364911,2.134148052,0.082669318,0.117478347
0.0423174,2.112042218,0.138416721,0.062554202
0.0481432,2.093377047,0.065645076,0.135540605
0.0539681,2.083254097,0.138019384,0.062358853
0.059791,2.071761372,0.099005282,0.100782177
0.0667,2.074238243,0.117467521,0.08159776
