Length,WPD_HAWT,WPD_VAWT_VM,WPD_VAWT_HM,Error
-0.0667,1.729337137,2.236082415,1.742431335,2.4911967
-0.0571793,1.938914932,2.210295663,1.963291299,3.1551277
-0.0512724,2.124051998,2.258264947,2.156463283,4.2923495
-0.0453612,2.295148235,2.312019337,2.333779839,5.3379712
-0.0394571,2.43E+00,2.16E+00,2.48E+00,6.011914
-0.0335661,2.535109724,2.13539568,2.576276331,6.909088
-0.0276903,2.589384869,2.154645684,2.626021151,7.0694593
-0.0218283,2.60692944,1.980112507,2.635967746,7.0422187
-0.0159777,2.585754956,2.001829794,2.605463917,6.6069211
-0.010136,2.538683882,1.979338384,2.548426322,5.9324349
-0.00430056,2.48E+00,1.87E+00,2.479336033,5.2314043
0.00153069,2.414480052,1.852939508,2.406186813,4.4271195
0.00735917,2.353136693,1.847724338,2.338919953,3.5243651
0.0131864,2.30E+00,1.88E+00,2.280233217,2.6990032
0.0190127,2.26E+00,1.79E+00,2.233947119,2.1249984
0.0248387,2.21E+00,1.86E+00,2.191714616,1.623212
0.0306648,2.18E+00,1.90E+00,2.160021279,1.3862512
0.0364911,2.16E+00,1.872631244,2.134148052,1.291353
0.0423174,2.14E+00,1.941784383,2.112042218,1.2684462
0.0481432,2.12E+00,1.998991371,2.093377047,1.3066252
0.0539681,2.107736527,1.945736405,2.083254097,1.522574
0.059791,2.095957033,1.888901014,2.071761372,1.7151141
0.0667,2.098147978,1.794763536,2.074238243,2.1907138
